Ligand,Pocket,Best Score (kcal/mol),All Scores
CIMG_09093_prepared_Milbemycin,21,-7.3,"[-7.3, 0.0, 0.0, -7.1, 2.968, 8.89, -6.8, 2.449, 5.235, -6.6, 2.805, 8.829, -6.4, 3.484, 7.248, -6.3, 2.381, 8.717, -6.1, 2.536, 8.098, -6.0, 2.955, 5.578, -6.0, 6.12, 9.663, -5.8, 2.507, 4.466]"
CIMG_09093_prepared_Milbemycin,17,-8.2,"[-8.2, 0.0, 0.0, -8.1, 1.743, 2.079, -8.0, 2.492, 5.231, -7.6, 2.041, 7.344, -7.4, 6.451, 10.234, -7.1, 2.28, 5.275, -7.0, 2.577, 8.69, -6.9, 1.891, 5.284, -6.8, 7.422, 11.333, -6.8, 2.369, 8.937]"
CIMG_09093_prepared_Milbemycin,16,0.0,"[22.6, 0.0, 0.0, 24.1, 5.556, 9.219, 25.9, 5.976, 9.062]"
CIMG_09093_prepared_Milbemycin,20,-9.0,"[-9.0, 0.0, 0.0, -8.4, 3.137, 8.825, -8.3, 2.493, 9.314, -7.9, 1.864, 2.853, -7.8, 2.191, 3.688, -7.8, 3.431, 7.135, -7.7, 2.419, 9.004, -7.5, 3.413, 6.342, -7.4, 3.751, 8.851, -7.4, 2.06, 7.78]"
CIMG_09093_prepared_Milbemycin,6,-6.9,"[-6.9, 0.0, 0.0, -6.8, 2.575, 6.548, -6.7, 2.912, 7.132, -6.7, 2.574, 8.055, -6.6, 2.51, 6.224, -6.4, 1.987, 2.429, -6.3, 2.37, 3.125, -6.3, 2.819, 7.131, -6.2, 3.901, 10.431, -6.2, 2.582, 7.195]"
CIMG_09093_prepared_Disulfiram,5,-3.9,"[-3.9, 0.0, 0.0, -3.8, 0.408, 6.06, -3.8, 2.641, 3.992, -3.8, 2.099, 3.397, -3.7, 2.259, 6.434, -3.7, 3.149, 4.19, -3.7, 2.374, 6.485, -3.7, 3.158, 4.437, -3.6, 3.328, 5.004, -3.6, 2.6, 3.954]"
CIMG_09093_prepared_Disulfiram,12,-4.4,"[-4.4, 0.0, 0.0, -4.4, 1.24, 7.009, -4.3, 0.465, 7.039, -4.3, 1.083, 2.362, -4.2, 2.662, 6.592, -4.2, 1.33, 6.555, -4.2, 4.378, 6.542, -4.2, 2.339, 6.144, -4.2, 1.183, 6.822, -4.2, 2.42, 6.358]"
CIMG_09093_prepared_Disulfiram,1,-4.3,"[-4.3, 0.0, 0.0, -4.3, 12.646, 14.739, -4.3, 0.588, 6.217, -4.3, 0.404, 6.355, -4.3, 12.461, 14.924, -4.3, 12.044, 15.723, -4.3, 0.42, 2.326, -4.3, 12.296, 15.01, -4.3, 1.575, 6.728, -4.3, 12.337, 16.039]"
CIMG_09093_prepared_Disulfiram,14,-3.6,"[-3.6, 0.0, 0.0, -3.6, 1.259, 2.159, -3.5, 2.189, 6.092, -3.5, 2.108, 3.391, -3.5, 2.172, 3.106, -3.5, 0.669, 2.442, -3.5, 1.708, 6.773, -3.4, 1.989, 3.22, -3.4, 12.828, 14.288, -3.4, 2.894, 6.563]"
CIMG_09093_prepared_Disulfiram,4,-4.5,"[-4.5, 0.0, 0.0, -4.4, 1.627, 2.751, -4.3, 1.509, 2.228, -4.3, 1.629, 2.86, -4.3, 4.152, 6.309, -4.3, 2.38, 3.427, -4.2, 2.338, 6.158, -4.2, 1.547, 7.001, -4.2, 1.427, 7.092, -4.2, 2.805, 4.007]"
CIMG_09093_prepared_Disulfiram,11,-3.8,"[-3.8, 0.0, 0.0, -3.7, 0.34, 6.521, -3.7, 2.168, 6.395, -3.7, 2.593, 6.933, -3.7, 1.19, 6.324, -3.7, 2.139, 6.899, -3.7, 2.063, 3.104, -3.7, 2.138, 6.553, -3.7, 2.861, 6.934, -3.7, 2.956, 3.788]"
CIMG_09093_prepared_Disulfiram,18,-4.1,"[-4.1, 0.0, 0.0, -4.0, 17.438, 18.906, -4.0, 17.103, 19.039, -4.0, 1.017, 1.975, -4.0, 0.995, 2.007, -4.0, 17.411, 18.592, -3.9, 1.221, 6.029, -3.9, 0.967, 5.903, -3.9, 0.958, 6.072, -3.9, 1.205, 6.284]"
CIMG_09093_prepared_Disulfiram,19,-4.5,"[-4.5, 0.0, 0.0, -4.4, 1.253, 6.734, -4.3, 1.955, 6.371, -4.3, 1.612, 6.977, -4.2, 2.822, 3.92, -4.2, 1.885, 2.878, -4.2, 3.954, 7.918, -4.2, 5.076, 6.274, -4.2, 4.496, 7.12, -4.1, 1.628, 2.351]"
CIMG_09093_prepared_Disulfiram,22,-3.6,"[-3.6, 0.0, 0.0, -3.6, 0.838, 6.075, -3.5, 1.204, 6.441, -3.5, 0.779, 6.38, -3.5, 1.679, 6.214, -3.4, 1.769, 6.527, -3.4, 0.829, 6.236, -3.4, 1.887, 6.341, -3.4, 1.284, 1.947, -3.4, 2.102, 5.813]"
CIMG_09093_prepared_Disulfiram,3,-4.0,"[-4.0, 0.0, 0.0, -4.0, 1.601, 2.371, -3.9, 2.002, 2.995, -3.9, 2.165, 6.542, -3.9, 2.26, 6.339, -3.9, 1.97, 3.214, -3.8, 1.897, 3.181, -3.8, 2.319, 6.35, -3.8, 2.305, 3.135, -3.8, 9.803, 11.331]"
CIMG_09093_prepared_Disulfiram,9,-4.3,"[-4.3, 0.0, 0.0, -4.2, 2.122, 2.975, -4.2, 2.267, 3.206, -4.2, 16.423, 17.922, -4.1, 3.245, 6.316, -4.1, 1.785, 3.192, -4.1, 3.058, 5.328, -4.1, 1.682, 2.521, -4.1, 3.22, 6.533, -4.1, 3.513, 6.644]"
CIMG_09093_prepared_Disulfiram,8,-4.6,"[-4.6, 0.0, 0.0, -4.6, 0.576, 2.374, -4.6, 1.806, 2.306, -4.6, 1.643, 2.349, -4.6, 1.215, 2.083, -4.6, 1.395, 2.507, -4.5, 1.61, 2.013, -4.5, 1.964, 6.261, -4.5, 1.392, 6.053, -4.5, 1.787, 2.896]"
CIMG_09093_prepared_Disulfiram,10,-4.1,"[-4.1, 0.0, 0.0, -4.1, 1.143, 1.875, -4.0, 1.226, 6.88, -4.0, 4.433, 6.639, -4.0, 4.579, 6.253, -3.9, 0.545, 7.117, -3.9, 1.478, 2.559, -3.9, 2.173, 6.624, -3.9, 4.593, 6.721, -3.8, 1.13, 2.025]"
CIMG_09093_prepared_Disulfiram,2,-5.1,"[-5.1, 0.0, 0.0, -5.0, 1.928, 6.817, -5.0, 0.081, 6.951, -5.0, 0.119, 7.113, -5.0, 0.128, 1.752, -5.0, 0.063, 6.949, -5.0, 1.488, 6.957, -5.0, 1.709, 6.941, -4.9, 1.662, 2.768, -4.9, 1.592, 6.908]"
CIMG_09093_prepared_Disulfiram,15,-3.6,"[-3.6, 0.0, 0.0, -3.6, 0.908, 6.698, -3.5, 0.427, 1.816, -3.5, 1.167, 2.439, -3.4, 1.576, 2.143, -3.4, 1.514, 2.294, -3.4, 1.159, 2.393, -3.4, 1.006, 6.587, -3.4, 1.147, 6.942, -3.4, 1.065, 6.405]"
CIMG_09093_prepared_Disulfiram,7,-3.9,"[-3.9, 0.0, 0.0, -3.8, 0.22, 1.756, -3.8, 18.633, 20.943, -3.7, 18.778, 20.533, -3.7, 1.274, 6.486, -3.7, 1.476, 6.621, -3.6, 17.805, 20.414, -3.6, 1.218, 6.338, -3.6, 18.744, 21.266, -3.6, 18.155, 21.158]"
CIMG_09093_prepared_Disulfiram,13,-4.0,"[-4.0, 0.0, 0.0, -3.9, 1.352, 2.325, -3.9, 1.038, 2.011, -3.9, 0.561, 7.134, -3.9, 1.283, 7.26, -3.8, 1.338, 2.152, -3.8, 1.056, 6.902, -3.8, 1.303, 7.075, -3.8, 1.743, 2.671, -3.8, 1.126, 2.061]"
CIMG_09093_prepared_Disulfiram,21,-4.0,"[-4.0, 0.0, 0.0, -3.9, 0.199, 6.943, -3.9, 1.602, 6.48, -3.9, 5.204, 6.895, -3.9, 1.18, 1.481, -3.9, 1.696, 6.746, -3.8, 1.495, 7.276, -3.8, 1.774, 2.33, -3.8, 1.861, 2.37, -3.8, 1.658, 2.359]"
CIMG_09093_prepared_Disulfiram,17,-4.0,"[-4.0, 0.0, 0.0, -4.0, 1.25, 2.122, -4.0, 4.536, 7.066, -4.0, 0.583, 2.423, -4.0, 4.597, 6.801, -3.9, 4.209, 7.043, -3.9, 4.089, 7.056, -3.9, 0.931, 2.127, -3.9, 1.287, 7.2, -3.9, 0.615, 6.724]"
CIMG_09093_prepared_Disulfiram,16,-4.8,"[-4.8, 0.0, 0.0, -4.7, 0.379, 5.237, -4.7, 0.179, 1.742, -4.7, 0.378, 5.31, -4.5, 10.971, 12.592, -4.4, 10.279, 12.686, -4.4, 10.034, 12.458, -4.3, 11.897, 13.029, -4.3, 1.242, 2.648, -4.2, 10.421, 12.218]"
CIMG_09093_prepared_Disulfiram,20,-4.0,"[-4.0, 0.0, 0.0, -3.9, 0.501, 1.56, -3.9, 1.628, 2.278, -3.9, 1.885, 2.977, -3.9, 1.707, 2.464, -3.9, 1.349, 6.966, -3.8, 1.754, 7.113, -3.8, 1.82, 2.729, -3.8, 0.414, 7.223, -3.8, 1.847, 3.006]"
CIMG_09093_prepared_Disulfiram,6,-3.9,"[-3.9, 0.0, 0.0, -3.9, 0.785, 1.826, -3.9, 1.034, 5.511, -3.8, 0.92, 1.839, -3.8, 0.977, 5.692, -3.8, 0.781, 2.346, -3.8, 3.711, 5.799, -3.8, 1.258, 6.041, -3.8, 3.801, 5.652, -3.7, 3.992, 6.612]"
CIMG_00780_prepared_Milbemycin,5,-10.4,"[-10.4, 0.0, 0.0, -10.3, 1.654, 1.906, -9.5, 3.363, 7.319, -9.2, 14.676, 18.749, -8.6, 10.559, 14.135, -8.3, 15.416, 20.311, -8.2, 15.38, 20.429, -8.1, 3.671, 7.626, -7.9, 1.838, 7.506, -7.8, 15.145, 20.252]"
CIMG_00780_prepared_Milbemycin,12,-8.1,"[-8.1, 0.0, 0.0, -6.7, 4.059, 8.298, -6.5, 3.863, 6.134, -6.5, 2.009, 7.643, -6.3, 4.424, 6.759, -6.1, 4.078, 5.901, -5.9, 5.035, 7.933, -5.9, 4.37, 6.977, -5.8, 6.06, 9.034, -5.7, 3.603, 5.849]"
CIMG_00780_prepared_Milbemycin,1,-9.6,"[-9.6, 0.0, 0.0, -8.4, 3.172, 8.138, -8.2, 3.717, 8.929, -7.9, 3.005, 6.595, -7.3, 2.137, 7.981, -6.9, 1.949, 7.787, -6.9, 3.121, 6.135, -6.6, 3.979, 8.331, -5.9, 4.44, 8.539, -5.9, 3.758, 5.845]"
CIMG_00780_prepared_Milbemycin,14,-9.5,"[-9.5, 0.0, 0.0, -9.1, 2.926, 4.053, -9.0, 1.986, 2.555, -8.9, 2.881, 6.677, -8.8, 2.893, 5.867, -8.8, 3.522, 7.498, -8.7, 3.049, 7.58, -8.7, 2.036, 2.583, -8.6, 2.008, 2.502, -8.4, 3.14, 8.074]"
CIMG_00780_prepared_Milbemycin,4,-10.0,"[-10.0, 0.0, 0.0, -9.7, 2.208, 2.802, -9.7, 2.907, 9.225, -9.6, 2.653, 7.648, -9.6, 3.175, 6.439, -9.4, 1.68, 7.56, -9.4, 3.484, 6.607, -9.2, 5.143, 9.541, -9.0, 2.751, 8.688, -9.0, 6.437, 11.253]"
CIMG_00780_prepared_Milbemycin,11,-9.5,"[-9.5, 0.0, 0.0, -9.3, 1.483, 1.694, -8.6, 2.999, 6.576, -8.1, 3.243, 8.206, -8.1, 2.501, 7.869, -8.1, 3.717, 8.939, -7.3, 2.121, 7.96, -6.8, 3.097, 6.108, -6.6, 4.026, 8.34, -6.2, 3.132, 8.151]"
CIMG_00780_prepared_Milbemycin,18,-7.9,"[-7.9, 0.0, 0.0, -7.8, 3.525, 5.858, -7.7, 2.771, 3.758, -7.6, 1.743, 7.553, -7.5, 4.134, 8.661, -7.5, 3.642, 6.191, -7.4, 3.089, 8.715, -7.4, 2.85, 5.633, -7.1, 2.273, 5.178, -7.1, 5.487, 10.029]"
CIMG_00780_prepared_Milbemycin,3,-10.6,"[-10.6, 0.0, 0.0, -10.6, 2.093, 5.108, -10.2, 0.99, 1.119, -10.1, 2.503, 3.689, -10.0, 1.298, 1.566, -10.0, 3.188, 9.221, -9.5, 2.982, 3.916, -9.3, 3.345, 8.033, -9.1, 3.49, 8.051, -8.9, 2.367, 8.166]"
CIMG_00780_prepared_Milbemycin,9,-9.4,"[-9.4, 0.0, 0.0, -9.2, 2.776, 8.298, -9.0, 3.38, 8.506, -8.9, 2.561, 7.017, -8.3, 2.351, 7.51, -7.8, 2.245, 7.207, -7.8, 2.463, 3.35, -7.7, 3.01, 7.65, -7.6, 3.685, 5.561, -7.6, 2.123, 6.227]"
CIMG_00780_prepared_Milbemycin,8,-9.5,"[-9.5, 0.0, 0.0, -9.0, 1.877, 2.375, -8.9, 2.874, 6.615, -8.8, 2.451, 5.129, -8.8, 3.435, 7.453, -8.7, 2.995, 7.528, -8.7, 1.918, 2.397, -8.4, 1.367, 1.64, -8.4, 2.449, 7.739, -8.3, 10.698, 15.431]"
CIMG_00780_prepared_Milbemycin,10,-9.6,"[-9.6, 0.0, 0.0, -8.6, 3.116, 6.611, -8.2, 2.274, 2.743, -8.1, 2.923, 5.681, -7.9, 3.221, 8.578, -7.9, 2.671, 7.479, -7.9, 3.966, 8.875, -7.7, 3.436, 7.125, -7.5, 3.889, 7.374, -7.5, 3.655, 8.742]"
CIMG_00780_prepared_Milbemycin,2,-10.3,"[-10.3, 0.0, 0.0, -9.5, 13.496, 17.226, -8.7, 3.421, 4.499, -8.6, 3.7, 8.077, -8.6, 3.651, 6.617, -8.2, 12.087, 17.038, -8.1, 3.659, 7.664, -7.9, 1.812, 7.511, -7.7, 3.847, 5.538, -7.4, 2.033, 5.27]"
CIMG_00780_prepared_Milbemycin,15,-10.6,"[-10.6, 0.0, 0.0, -10.6, 2.081, 5.127, -10.0, 2.313, 5.431, -10.0, 3.052, 8.218, -9.6, 3.149, 6.092, -9.2, 3.269, 4.776, -9.2, 2.824, 7.801, -9.2, 1.954, 2.366, -9.2, 3.643, 9.343, -9.1, 4.426, 7.198]"
CIMG_00780_prepared_Milbemycin,7,-9.1,"[-9.1, 0.0, 0.0, -8.5, 9.872, 16.18, -8.5, 3.789, 7.336, -8.4, 7.252, 10.677, -8.4, 6.806, 11.557, -8.4, 3.381, 9.417, -8.3, 3.577, 5.512, -8.2, 2.28, 5.301, -8.2, 3.293, 8.947, -8.2, 3.397, 7.986]"
CIMG_00780_prepared_Milbemycin,13,-7.9,"[-7.9, 0.0, 0.0, -7.1, 3.211, 6.626, -6.7, 3.4, 8.205, -5.4, 4.177, 9.219]"
CIMG_00780_prepared_Milbemycin,17,-6.9,"[-6.9, 0.0, 0.0, -6.5, 3.801, 7.595, -6.2, 5.612, 9.47, -6.2, 3.587, 8.522, -6.1, 3.422, 4.861, -5.9, 3.752, 8.394, -5.8, 3.475, 7.817, -5.8, 3.9, 7.278, -5.7, 3.548, 8.328, -5.7, 1.543, 1.894]"
CIMG_00780_prepared_Milbemycin,16,-1.7,"[-1.7, 0.0, 0.0, 0.8, 1.406, 1.66, 1.9, 2.876, 7.355]"
CIMG_00780_prepared_Milbemycin,6,-8.9,"[-8.9, 0.0, 0.0, -8.5, 2.701, 5.607, -8.5, 5.934, 8.743, -8.5, 1.979, 7.864, -8.4, 2.375, 5.848, -8.3, 4.656, 8.337, -8.3, 3.638, 8.039, -8.2, 2.99, 6.673, -8.2, 3.804, 7.299, -8.1, 3.286, 8.908]"
CIMG_00780_prepared_Disulfiram,5,-4.4,"[-4.4, 0.0, 0.0, -4.3, 1.952, 3.024, -4.3, 1.927, 2.62, -4.3, 1.386, 2.962, -4.3, 1.62, 6.995, -4.3, 2.292, 7.062, -4.3, 1.461, 2.56, -4.3, 2.037, 3.273, -4.3, 2.293, 6.554, -4.3, 1.582, 6.897]"
CIMG_00780_prepared_Disulfiram,12,-4.1,"[-4.1, 0.0, 0.0, -3.9, 1.899, 2.921, -3.8, 1.613, 2.687, -3.8, 0.927, 1.884, -3.8, 1.552, 2.567, -3.8, 2.906, 4.15, -3.8, 1.712, 6.84, -3.8, 1.512, 2.525, -3.8, 2.107, 3.147, -3.8, 1.717, 3.013]"
CIMG_00780_prepared_Disulfiram,1,-4.9,"[-4.9, 0.0, 0.0, -4.8, 4.403, 8.424, -4.8, 4.373, 6.582, -4.8, 1.152, 2.471, -4.8, 4.521, 8.34, -4.7, 4.457, 8.267, -4.6, 1.207, 7.441, -4.6, 1.898, 7.112, -4.6, 2.296, 3.273, -4.6, 3.115, 4.314]"
CIMG_00780_prepared_Disulfiram,14,-3.9,"[-3.9, 0.0, 0.0, -3.9, 0.534, 6.635, -3.9, 1.55, 2.854, -3.8, 1.777, 2.833, -3.8, 1.622, 2.507, -3.8, 1.726, 5.977, -3.8, 3.568, 4.846, -3.8, 3.768, 5.249, -3.8, 1.624, 6.587, -3.8, 1.745, 2.494]"
CIMG_00780_prepared_Disulfiram,4,-4.4,"[-4.4, 0.0, 0.0, -4.4, 0.638, 6.796, -4.4, 1.945, 2.982, -4.3, 0.912, 6.801, -4.3, 1.65, 2.784, -4.3, 1.519, 1.94, -4.3, 1.639, 2.803, -4.3, 1.182, 2.189, -4.3, 1.54, 6.639, -4.3, 1.456, 2.273]"
CIMG_00780_prepared_Disulfiram,11,-4.8,"[-4.8, 0.0, 0.0, -4.8, 0.087, 1.594, -4.6, 0.502, 1.683, -4.6, 0.693, 7.393, -4.5, 3.245, 7.805, -4.5, 3.594, 5.82, -4.4, 3.787, 5.789, -4.4, 2.5, 3.307, -4.4, 3.212, 4.991, -4.4, 2.528, 7.439]"
CIMG_00780_prepared_Disulfiram,18,-4.1,"[-4.1, 0.0, 0.0, -4.1, 1.008, 7.233, -4.1, 1.061, 2.044, -4.1, 0.204, 2.318, -4.1, 0.395, 1.658, -4.0, 0.646, 7.27, -4.0, 1.98, 7.302, -4.0, 0.796, 7.112, -4.0, 1.576, 2.014, -4.0, 1.164, 2.54]"
CIMG_00780_prepared_Disulfiram,3,-4.3,"[-4.3, 0.0, 0.0, -4.3, 2.617, 4.161, -4.2, 2.832, 4.416, -4.2, 1.653, 6.377, -4.2, 1.835, 2.81, -4.1, 1.872, 6.541, -4.1, 1.132, 6.38, -4.1, 1.813, 6.63, -4.1, 1.514, 6.403, -4.1, 2.775, 3.87]"
CIMG_00780_prepared_Disulfiram,9,-3.7,"[-3.7, 0.0, 0.0, -3.7, 8.339, 10.604, -3.7, 1.705, 2.721, -3.7, 8.596, 10.565, -3.7, 8.345, 9.592, -3.6, 1.988, 5.718, -3.6, 7.843, 9.816, -3.6, 1.502, 5.36, -3.6, 1.765, 2.565, -3.6, 2.141, 3.079]"
CIMG_00780_prepared_Disulfiram,8,-4.1,"[-4.1, 0.0, 0.0, -4.1, 2.749, 3.935, -4.1, 2.708, 7.323, -4.0, 2.984, 4.623, -4.0, 3.027, 7.416, -4.0, 3.809, 5.717, -4.0, 4.015, 4.882, -4.0, 0.207, 6.792, -4.0, 5.777, 7.721, -3.9, 2.765, 7.176]"
CIMG_00780_prepared_Disulfiram,10,-4.6,"[-4.6, 0.0, 0.0, -4.6, 1.279, 5.644, -4.6, 1.27, 5.851, -4.5, 0.369, 5.784, -4.5, 2.406, 3.256, -4.4, 2.319, 3.689, -4.4, 2.33, 3.288, -4.4, 2.527, 7.014, -4.4, 1.909, 5.354, -4.4, 2.384, 6.861]"
CIMG_00780_prepared_Disulfiram,2,-4.4,"[-4.4, 0.0, 0.0, -4.3, 9.967, 11.997, -4.3, 10.283, 12.398, -4.3, 1.452, 2.327, -4.3, 11.62, 13.412, -4.2, 10.231, 11.489, -4.2, 1.178, 6.446, -4.2, 10.101, 11.454, -4.2, 10.576, 12.951, -4.2, 10.188, 12.358]"
CIMG_00780_prepared_Disulfiram,15,-4.4,"[-4.4, 0.0, 0.0, -4.3, 0.873, 5.762, -4.3, 1.705, 2.273, -4.3, 2.423, 3.784, -4.3, 1.76, 2.549, -4.2, 1.722, 3.078, -4.2, 1.708, 5.957, -4.2, 2.202, 3.09, -4.2, 1.439, 5.793, -4.2, 11.216, 12.812]"
CIMG_00780_prepared_Disulfiram,7,-4.0,"[-4.0, 0.0, 0.0, -4.0, 0.16, 5.582, -4.0, 4.501, 8.748, -3.9, 0.682, 5.889, -3.9, 1.867, 5.638, -3.9, 4.617, 8.86, -3.8, 3.54, 7.964, -3.8, 0.833, 2.517, -3.8, 3.28, 7.656, -3.8, 3.692, 5.849]"
CIMG_00780_prepared_Disulfiram,13,-4.6,"[-4.6, 0.0, 0.0, -4.6, 0.271, 7.302, -4.5, 0.828, 7.002, -4.5, 0.68, 1.588, -4.5, 2.483, 6.421, -4.5, 1.234, 2.089, -4.5, 1.473, 2.154, -4.5, 1.908, 2.915, -4.5, 1.214, 7.034, -4.4, 2.011, 2.402]"
CIMG_00780_prepared_Disulfiram,17,-3.8,"[-3.8, 0.0, 0.0, -3.8, 1.276, 5.769, -3.8, 0.812, 6.291, -3.8, 2.247, 3.475, -3.8, 0.414, 5.973, -3.7, 2.195, 3.769, -3.7, 0.875, 1.801, -3.7, 1.712, 2.757, -3.7, 0.547, 2.68, -3.7, 1.91, 5.597]"
CIMG_00780_prepared_Disulfiram,16,-4.5,"[-4.5, 0.0, 0.0, -4.4, 1.099, 2.479, -4.4, 4.282, 5.625, -4.4, 4.277, 5.739, -4.4, 3.919, 5.417, -4.3, 1.533, 2.64, -4.3, 1.334, 6.862, -4.2, 4.889, 6.872, -4.2, 4.669, 7.696, -4.2, 1.715, 7.341]"
CIMG_00780_prepared_Disulfiram,6,-4.1,"[-4.1, 0.0, 0.0, -4.1, 0.916, 5.598, -4.1, 1.387, 5.506, -4.1, 1.16, 2.441, -4.0, 0.78, 5.591, -4.0, 1.637, 5.437, -4.0, 1.229, 1.912, -4.0, 1.37, 2.569, -4.0, 1.954, 2.55, -4.0, 1.276, 5.694]"
CIMG_00780_prepared_Beauvericin,5,-7.3,"[-7.3, 0.0, 0.0, -6.5, 8.957, 14.894, -6.4, 10.12, 14.077, -6.4, 9.899, 15.748, -6.2, 10.936, 13.531, -6.1, 9.702, 13.588, -6.1, 11.24, 16.074, -6.0, 9.278, 13.048, -6.0, 9.286, 13.138, -6.0, 13.683, 16.5]"
CIMG_00780_prepared_Beauvericin,12,-8.5,"[-8.5, 0.0, 0.0, -8.2, 1.179, 7.49, -8.2, 0.707, 7.348, -7.7, 1.108, 7.434, -7.6, 1.643, 7.896, -7.5, 2.852, 5.815, -7.3, 1.63, 2.18, -7.1, 2.3, 6.072, -7.0, 1.413, 7.948, -6.9, 9.541, 15.624]"
CIMG_00780_prepared_Beauvericin,1,-8.6,"[-8.6, 0.0, 0.0, -8.1, 3.546, 6.144, -7.5, 0.783, 7.908, -7.4, 2.625, 5.111, -6.4, 1.792, 9.054, -5.5, 0.995, 7.818, -5.4, 2.624, 4.613, -5.0, 1.759, 5.649, -5.0, 2.607, 8.715, -4.8, 3.211, 9.471]"
CIMG_00780_prepared_Beauvericin,14,-8.4,"[-8.4, 0.0, 0.0, -8.3, 2.642, 6.65, -7.9, 2.027, 7.22, -7.8, 2.577, 6.36, -7.8, 2.274, 6.72, -7.8, 2.178, 6.484, -7.7, 2.192, 7.354, -7.7, 2.489, 6.41, -7.7, 2.6, 4.198, -7.6, 2.178, 8.618]"
CIMG_00780_prepared_Beauvericin,4,-6.6,"[-6.6, 0.0, 0.0, -3.8, 6.933, 12.996, -3.5, 5.233, 9.88, -3.4, 3.294, 8.607, -3.3, 5.705, 11.011, -3.0, 8.161, 14.126, -2.8, 6.505, 12.563, -2.7, 1.954, 6.44, -2.7, 4.798, 10.033]"
CIMG_00780_prepared_Beauvericin,11,-8.6,"[-8.6, 0.0, 0.0, -8.1, 3.566, 6.17, -7.4, 0.812, 7.956, -7.4, 2.66, 5.097, -6.3, 1.777, 9.077, -5.5, 0.939, 7.755, -5.3, 2.646, 4.634, -5.0, 1.773, 5.601, -4.9, 2.617, 8.671, -4.8, 3.22, 9.505]"
CIMG_00780_prepared_Beauvericin,18,-7.9,"[-7.9, 0.0, 0.0, -7.8, 0.701, 8.463, -7.8, 1.078, 8.165, -7.8, 2.848, 4.539, -7.6, 2.804, 8.512, -7.4, 4.591, 7.666, -7.4, 1.889, 2.891, -7.4, 1.447, 8.313, -7.4, 2.679, 8.903, -7.3, 2.607, 8.102]"
CIMG_00780_prepared_Beauvericin,3,-11.5,"[-11.5, 0.0, 0.0, -11.1, 0.881, 7.965, -10.5, 1.196, 7.628, -10.0, 2.579, 7.693, -9.6, 1.698, 7.645, -9.4, 1.616, 2.143, -9.4, 2.61, 8.265, -8.9, 2.164, 8.973, -8.8, 2.876, 4.614, -8.6, 1.944, 7.527]"
CIMG_00780_prepared_Beauvericin,9,-8.4,"[-8.4, 0.0, 0.0, -8.3, 3.528, 6.2, -6.7, 0.831, 7.803, -6.6, 1.792, 9.029, -6.4, 2.59, 5.111, -5.3, 2.726, 4.837, -5.2, 0.818, 7.61, -5.1, 1.759, 5.694, -5.1, 6.153, 11.6, -5.0, 3.226, 9.434]"
CIMG_00780_prepared_Beauvericin,8,-8.2,"[-8.2, 0.0, 0.0, -8.1, 0.931, 7.164, -7.8, 14.189, 18.761, -7.7, 1.476, 2.067, -7.3, 14.746, 20.019, -7.3, 13.721, 17.747, -7.2, 14.633, 19.566, -7.1, 15.196, 19.873, -7.0, 12.841, 17.783, -6.9, 14.95, 19.638]"
CIMG_00780_prepared_Beauvericin,10,-9.0,"[-9.0, 0.0, 0.0, -8.6, 1.215, 6.476, -8.5, 1.428, 7.23, -8.3, 1.699, 2.212, -7.9, 2.328, 7.018, -7.9, 2.424, 7.566, -7.7, 2.895, 8.224, -7.7, 2.094, 4.75, -7.6, 1.907, 6.209, -7.5, 2.167, 6.034]"
CIMG_00780_prepared_Beauvericin,2,-6.0,"[-6.0, 0.0, 0.0, -4.4, 15.764, 19.976, -3.2, 15.15, 19.484, -3.1, 1.813, 2.403, -3.0, 16.358, 20.029, -2.7, 22.48, 28.138, -2.6, 15.629, 19.71, -2.3, 16.74, 21.413, -2.2, 16.772, 21.209, -2.1, 2.294, 6.516]"
CIMG_00780_prepared_Beauvericin,15,-11.9,"[-11.9, 0.0, 0.0, -11.7, 0.71, 8.0, -11.7, 0.938, 7.724, -10.1, 2.292, 5.713, -10.0, 1.505, 7.571, -9.9, 2.651, 8.125, -9.7, 2.412, 7.13, -9.5, 1.588, 2.267, -9.4, 1.826, 8.802, -9.2, 2.679, 7.755]"
CIMG_00780_prepared_Beauvericin,7,-8.5,"[-8.5, 0.0, 0.0, -8.4, 3.541, 8.965, -8.3, 1.243, 7.137, -8.2, 4.498, 9.987, -8.2, 1.688, 2.274, -8.1, 2.413, 7.466, -8.0, 2.516, 8.17, -8.0, 2.76, 6.513, -7.9, 4.881, 8.261, -7.8, 6.203, 10.438]"
CIMG_00780_prepared_Beauvericin,13,-5.7,"[-5.7, 0.0, 0.0, -5.6, 4.006, 10.31, -5.0, 4.06, 7.73, -3.5, 3.263, 9.352, -3.2, 1.297, 8.509, -2.9, 13.138, 16.934, -2.6, 3.011, 8.89, -2.6, 3.077, 5.798, -2.5, 0.819, 8.347, -2.3, 4.345, 9.126]"
CIMG_00780_prepared_Beauvericin,17,-8.1,"[-8.1, 0.0, 0.0, -8.1, 1.03, 7.513, -8.0, 1.521, 1.89, -7.8, 1.909, 8.255, -7.7, 1.081, 8.16, -7.6, 1.794, 7.954, -7.6, 1.985, 7.709, -7.3, 3.0, 8.817, -7.3, 1.812, 7.138, -7.3, 2.619, 5.898]"
